start_id,objective,converged,retcode,aic,bic,params
8,0.059138777483482834,true,Success,-17.717767433403672,-18.7589700872634,"[4526.669381753716, 0.28806127180009433, 1.3030757416273295, 1.8181154246681548, 12.453874322719798]"
20,0.059138777486226556,true,Success,-17.717767433125303,-18.75897008698503,"[4999.4945289855295, 0.10412630899275317, 1.3030757409996738, 1.8181154223661067, 3.3252459863065553]"
7,0.059138777486432405,true,Success,-17.717767433104417,-18.75897008696414,"[4999.4606657681015, 0.10537992440713179, 1.3030757412100864, 1.8181154226376353, 3.351365488605567]"
6,0.059138777488735604,true,Success,-17.717767432870744,-18.75897008673047,"[4999.891681006613, 0.1008914247065887, 1.303075735370988, 1.818115416656398, 3.2591675143513315]"
9,0.059138777488865375,true,Success,-17.717767432857574,-18.758970086717298,"[4526.496129721212, 0.28805801645340484, 1.3030757429372544, 1.8181154263647157, 12.45342409192221]"
