start_id,objective,converged,retcode,aic,bic,params
1,1.0e12,true,Success,169.03556988020296,167.57788616479934,"[4.05, 2.5000005, 2.5000005, 5.0000000005e6, 1.0, 10.0, 5000.000000005]"
2,1.0e12,true,Success,169.03556988020296,167.57788616479934,"[5.715508552013226, 0.3224271910063824, 2.389213727491934, 1.7770930566176153e6, 0.10703977496594641, 6.061860525875886, 4475.774190584273]"
3,1.0e12,true,Success,169.03556988020296,167.57788616479934,"[1.234367779208917, 1.043639487863189, 2.3131901682370604, 1.9423615902997032e6, 1.6132968869679263, 7.521180323886458, 8024.554867758181]"
4,1.0e12,true,Success,169.03556988020296,167.57788616479934,"[0.9492311700840838, 1.6279105167824692, 3.4861017210008765, 7.345787862865874e6, 1.769463334653096, 11.236482224043897, 8613.686967817986]"
5,1.0e12,true,Success,169.03556988020296,167.57788616479934,"[4.744276003061392, 2.59767374482988, 3.953250981365938, 6.5370352771769725e6, 0.29364791950296, 9.865434999600819, 4690.5527924002845]"
