start_id,objective,converged,retcode,aic,bic,params
1,1.0e12,true,Success,163.03556988020296,162.20260775711517,"[2.5000005, 5.0000000005e6, 2.5000005, 5.0000000005e6]"
2,1.0e12,true,Success,163.03556988020296,162.20260775711517,"[3.5541196258933647, 644852.5119187818, 2.389213727491934, 1.7770930566176153e6]"
3,1.0e12,true,Success,163.03556988020296,162.20260775711517,"[0.26760038389497853, 3.0309302636348503e6, 2.237887647711956, 1.435908582133519e6]"
4,1.0e12,true,Success,163.03556988020296,162.20260775711517,"[1.043639487863189, 4.6263792622873355e6, 0.9711816005108108, 8.066484435032983e6]"
5,1.0e12,true,Success,163.03556988020296,162.20260775711517,"[1.8802957049125983, 8.02455486795375e6, 0.5374889748340821, 3.255819685403294e6]"
