start_id,objective,converged,retcode,aic,bic,params
14,0.0015769290760546848,true,Success,-21.35428122839631,-24.422809422796856,"[4597.607788721238, 0.42437352865635747, 2.843619997369194, 0.10000000001626674, 11.541047036691891]"
16,0.0015769290770462777,true,Success,-21.35428122588106,-24.422809420281606,"[4591.241746267778, 0.42427411002697, 2.8436199950392513, 0.10000000012020901, 11.525044354864075]"
8,0.0015769290774732391,true,Success,-21.35428122479804,-24.422809419198586,"[4576.522438698881, 0.4244374147743945, 2.843619987506381, 0.10000000045671008, 11.52520197466711]"
9,0.0015769290837993862,true,Success,-21.35428120875129,-24.422809403151835,"[4513.361469642968, 0.42489204723927, 2.8436199364522388, 0.10000000273623218, 11.501985541397497]"
13,0.0015769290866178166,true,Success,-21.354281201602127,-24.422809396002673,"[4505.672185888276, 0.4199162521005539, 2.8436199208560935, 0.10000000343126016, 11.035505483992024]"
