start_id,objective,converged,retcode,aic,bic,params
20,0.2001869199358592,true,Success,-14.40157931069528,-15.026300903011114,"[5.786942072417642, 0.3415050850365097, 5.000000500002767]"
6,0.20018691997135243,true,Success,-14.401579309631476,-15.02630090194731,"[5.786942071878575, 0.3415050850741647, 5.0000004996755365]"
8,0.2001869199900286,true,Success,-14.401579309071717,-15.026300901387552,"[5.786942072415068, 0.34150508503677524, 5.000000500000235]"
10,0.20018692001505417,true,Success,-14.40157930832165,-15.026300900637485,"[5.786942072402358, 0.3415050850381408, 5.000000499523364]"
9,0.2001869200876091,true,Success,-14.401579306147031,-15.026300898462866,"[5.786942072417709, 0.3415050850364825, 5.000000499975051]"
