stage,model,condition,reason,detail,hint,timestamp
solver,null_coculture,cell_line=A549 | density=1.0 | replicate=1,unknown_failure,Simulation failed during best-fit evaluation,"Inspect condition-specific time range, bounds, and observation scaling.",2026-04-26T11:25:37.718
solver,lotka_volterra_competition,cell_line=A549 | density=1.0 | replicate=1,unknown_failure,Simulation failed during best-fit evaluation,"Inspect condition-specific time range, bounds, and observation scaling.",2026-04-26T11:25:38.169
