start_id,objective,converged,retcode,aic,bic,params
16,37.26476336503846,true,Success,19.70587216094447,21.623044149790246,"[0.22280281929550586, 5.000000499999773, 7.915138881039847]"
14,37.26476336505027,true,Success,19.705872160948907,21.62304414979468,"[0.2228028191812256, 5.000000499990705, 7.915138885704832]"
13,37.264763365052445,true,Success,19.705872160949724,21.623044149795497,"[0.22280281928739348, 5.000000500002126, 7.9151388813681]"
10,37.26476336505395,true,Success,19.705872160950285,21.623044149796062,"[0.22280281910798103, 5.000000500010841, 7.915138888698416]"
7,37.264763365053966,true,Success,19.705872160950292,21.623044149796065,"[0.2228028192945051, 5.000000500131459, 7.915138881077233]"
